"Reconciliations — Saraswati Automobiles Pvt Ltd · 2026-11 — 4 clean of 9 that ran, out of 10. **A reconciliation that could not run is not clean**, and reporting it as clean would be a tick beside a control nobody performed"

#,Control,Compares,Ran?,Clean?,Reference,Detail,Amount
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00003,"2026-08-13 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-13 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00026,"2026-08-14 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00027,"2026-08-14 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00004,"2026-08-14 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00005,"2026-08-14 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00026,"2026-08-14 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00027,"2026-08-14 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00026,"2026-08-14 — Ledger Test Customer, still unpaid; if a financier agreed to this one, chase them","₹ 1,01,750.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00027,"2026-08-14 — Ledger Test Customer Two, still unpaid; if a financier agreed to this one, chase them","₹ 84,000.00"
6,Financier,disbursements expected against disbursements received,yes,no,SRV/2026-27/0002,"2026-09-16 — Ramesh Duggal, still unpaid; if a financier agreed to this one, chase them","₹ 2,383.60"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00006,"2026-09-19 — Kapil Dogra, still unpaid; if a financier agreed to this one, chase them","₹ 19,462.00"
6,Financier,disbursements expected against disbursements received,yes,no,SRV/2026-27/0004,"2026-10-07 — Jasbir Walia, still unpaid; if a financier agreed to this one, chase them","₹ 2,383.60"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00014,"2026-10-12 — Mohit Sehgal, still unpaid; if a financier agreed to this one, chase them","₹ 14,886.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00023,"2026-10-14 — Zubair Ahmed, still unpaid; if a financier agreed to this one, chase them","₹ 18,392.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00009,"2026-10-29 — Preeti Sabharwal, still unpaid; if a financier agreed to this one, chase them","₹ 29,488.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00019,"2026-10-31 — Shalini Kapoor, still unpaid; if a financier agreed to this one, chase them","₹ 43,320.00"
6,Financier,disbursements expected against disbursements received,yes,no,SRV/2026-27/0007,"2026-11-04 — Om Prakash, still unpaid; if a financier agreed to this one, chase them","₹ 2,383.60"
6,Financier,disbursements expected against disbursements received,yes,no,SRV/2026-27/0008,"2026-11-12 — Anjali Bisht, still unpaid; if a financier agreed to this one, chase them","₹ 2,383.60"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00011,"2026-11-21 — Ravinder Chadha, still unpaid; if a financier agreed to this one, chase them","₹ 79,430.00"
6,Financier,disbursements expected against disbursements received,yes,no,SC-2627-00017,"2026-11-26 — Kritika Malhotra, still unpaid; if a financier agreed to this one, chase them","₹ 1,52,440.00"
7,The manufacturer,what we owe them for stock against what they owe us for warranty and schemes,yes,no,SRV/2026-27/0009,"2026-11-24 — warranty: Warranty repair — clutch assembly (DL 6S JK 5567), claimable and not yet claimed","₹ 1,200.00"
7,The manufacturer,what we owe them for stock against what they owe us for warranty and schemes,yes,no,SRV/2026-27/0009,"2026-11-24 — warranty: Clutch plate set (DL 6S JK 5567), claimable and not yet claimed","₹ 1,850.00"
8,GSTR-1 against the books,"what the return reports against what the ledger holds, tax head by tax head",yes,yes,,,
9,GSTR-3B against GSTR-1,"the summary against the invoice-wise return, and against the tax actually paid",yes,yes,,"₹0 was debited to the output tax heads this month, which is what a payment against the return looks like in the books. Both sides of this check are drawn from the same ledger, so it confirms the arithmetic rather than the sources — the sources diverge only once a return is filed from somewhere other than these books.",
10,GSTR-2B against purchases,input credit our books claim against input credit the portal shows,yes,no,NET/HMC/2026/1103,2026-11-03 — not yet checked against 2B,"₹ 1,76,382.00"
